scenario_id,category,passed,relationship_true_positive,relationship_false_positive,relationship_false_negative,expected_chain_count,actual_chain_count,expected_abstained,actual_abstained,failed_checks
controlled-full-chain-01-wget,connected_artifact_chain,true,4,0,0,1,1,true,true,
controlled-full-chain-02-curl,connected_artifact_chain,true,4,0,0,1,1,true,true,
controlled-full-chain-03-python,connected_artifact_chain,true,4,0,0,1,1,true,true,
controlled-full-chain-04-direct,connected_artifact_chain,true,3,0,0,1,1,true,true,
controlled-transfer-execute-01,connected_transfer_execution,true,1,0,0,1,1,true,true,
controlled-transfer-execute-02,connected_transfer_execution,true,1,0,0,1,1,true,true,
controlled-transfer-execute-03,connected_transfer_execution,true,1,0,0,1,1,true,true,
controlled-transfer-execute-04,connected_transfer_execution,true,1,0,0,1,1,true,true,
controlled-no-link-01-different-files,artifact_non_match,true,0,0,0,0,0,true,true,
controlled-no-link-02-same-basename,artifact_non_match,true,0,0,0,0,0,true,true,
controlled-no-link-03-relative-absolute,artifact_non_match,true,0,0,0,0,0,true,true,
controlled-no-link-04-variable-absolute,artifact_non_match,true,0,0,0,0,0,true,true,
controlled-no-link-05-wildcard-absolute,artifact_non_match,true,0,0,0,0,0,true,true,
controlled-no-link-06-reverse-order,artifact_non_match,true,0,0,0,0,0,true,true,
controlled-curl-semantics-01-webpage,curl_semantics,true,0,0,0,0,0,true,true,
controlled-curl-semantics-02-output,curl_semantics,true,0,0,0,0,0,true,true,
controlled-curl-semantics-03-pipe-sh,curl_semantics,true,1,0,0,1,1,true,true,
controlled-curl-semantics-04-pipe-bash,curl_semantics,true,1,0,0,1,1,true,true,
controlled-conditional-01-and-satisfied,shell_condition,true,1,0,0,1,1,true,true,
controlled-conditional-02-and-unsatisfied,shell_condition,true,1,0,0,0,0,true,true,
controlled-conditional-03-or-satisfied,shell_condition,true,1,0,0,1,1,true,true,
controlled-conditional-04-or-unsatisfied,shell_condition,true,1,0,0,0,0,true,true,
controlled-conditional-05-and-unknown,shell_condition,true,1,0,0,1,1,true,true,
controlled-conditional-06-or-unknown,shell_condition,true,1,0,0,1,1,true,true,
controlled-conditional-07-semicolon,shell_sequence,true,1,0,0,0,0,true,true,
controlled-conditional-08-newline,shell_sequence,true,1,0,0,0,0,true,true,
controlled-transfer-link-01-path,cowrie_transfer_linkage,true,1,0,0,1,1,false,false,
controlled-transfer-link-02-url,cowrie_transfer_linkage,true,1,0,0,1,1,false,false,
controlled-transfer-link-03-hash,cowrie_transfer_linkage,true,1,0,0,1,1,false,false,
controlled-transfer-link-04-metadata-insufficient,cowrie_transfer_non_linkage,true,0,0,0,0,0,true,true,
controlled-transfer-link-05-event-before-command,cowrie_transfer_non_linkage,true,0,0,0,0,0,true,true,
controlled-transfer-link-06-ambiguous-command,cowrie_transfer_non_linkage,true,0,0,0,0,0,true,true,
controlled-transfer-link-07-mismatched-metadata,cowrie_transfer_non_linkage,true,0,0,0,0,0,true,true,
controlled-transfer-link-08-upload-independent,cowrie_transfer_non_linkage,true,0,0,0,0,0,true,true,
controlled-session-structure-01-duplicates,session_structure,true,1,0,0,1,1,false,false,
controlled-session-structure-02-unrelated,session_structure,true,0,0,0,0,0,true,true,
controlled-session-structure-03-two-chains,session_structure,true,2,0,0,2,2,false,false,
controlled-session-structure-04-unrelated-final,session_structure,true,1,0,0,1,1,false,false,
controlled-entity-01-account-match,account_and_credential_entities,true,1,0,0,1,1,true,true,
controlled-entity-02-account-mismatch,account_and_credential_entities,true,0,0,0,0,0,true,true,
controlled-entity-03-shadow,account_and_credential_entities,true,0,0,0,0,0,true,true,
controlled-entity-04-cloud-credentials,account_and_credential_entities,true,0,0,0,0,0,true,true,
controlled-outcome-01-failed-transfer-with-event,outcome_semantics,true,1,0,0,1,1,false,false,
controlled-outcome-02-failed-chmod,outcome_semantics,true,1,0,0,1,1,false,false,
controlled-outcome-03-failed-execution,outcome_semantics,true,1,0,0,1,1,true,true,
controlled-outcome-04-successful-execution,outcome_semantics,true,1,0,0,1,1,true,true,
controlled-outcome-05-audit-only,outcome_semantics,true,0,0,0,0,0,true,true,
controlled-outcome-06-transfer-event-only,outcome_semantics,true,0,0,0,0,0,true,true,
