row_type,scope,model_id,model,role,status,data_used,input_context,output,abstention_support,target_tactic,support,support_status,reportable,top1_accuracy,top3_accuracy_secondary,mean_reciprocal_rank,brier_score,normalized_multiclass_brier_score,coverage,abstention_rate,selective_top1_accuracy,macro_top1_accuracy,balanced_accuracy,macro_recall,macro_top1_accuracy_sufficient_support,descriptive_top1_accuracy,descriptive_mean_reciprocal_rank,descriptive_normalized_multiclass_brier_score,low_support_tactics,zero_support_tactics,evaluated_examples,main_limitation
aggregate,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,,,,,0.324479,0.957397,0.598573,0.693486,0.346743,1.0,0.0,0.324479,0.166667,0.166667,0.166667,0.2,,,,privilege-escalation,credential-access;lateral-movement,9788,ignores all sequential context
per_tactic,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,command-and-control,3073,sufficient_support,True,0.0,,0.333333,0.675945,0.337973,,,,,,,,,,,,,3073,ignores all sequential context
per_tactic,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,credential-access,0,no_heldout_support,False,,,,,,,,,,,,,,,,,,0,descriptive only; below minimum per-tactic support
per_tactic,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,defense-evasion,3122,sufficient_support,True,0.0,,0.5,0.670132,0.335066,,,,,,,,,,,,,3122,ignores all sequential context
per_tactic,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,discovery,288,sufficient_support,True,0.0,,0.25,1.2664,0.6332,,,,,,,,,,,,,288,ignores all sequential context
per_tactic,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,execution,3176,sufficient_support,True,1.0,,1.0,0.656919,0.32846,,,,,,,,,,,,,3176,ignores all sequential context
per_tactic,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,lateral-movement,0,no_heldout_support,False,,,,,,,,,,,,,,,,,,0,descriptive only; below minimum per-tactic support
per_tactic,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,persistence,120,sufficient_support,True,0.0,,0.2,1.296606,0.648303,,,,,,,,,,,,,120,ignores all sequential context
per_tactic,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,privilege-escalation,9,low_support_descriptive_only,False,,,,,,,,,,,,,0.0,0.166667,0.656332,,,9,descriptive only; below minimum per-tactic support
aggregate,external,first_order_markov,First-order Markov Chain (maximum likelihood),simple sequence baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,P(next tactic | last tactic),yes; unseen last-tactic context,,,,,0.978136,0.998978,0.988474,0.03316,0.01658,1.0,0.0,0.978136,0.780454,0.780454,0.780454,0.936545,,,,privilege-escalation,credential-access;lateral-movement,9788,cannot use longer tactic history or external/local shrinkage
