scope,model_id,model,role,status,data_used,input_context,output,abstention_support,top1_accuracy,top3_accuracy_secondary,mean_reciprocal_rank,brier_score,coverage,abstention_rate,selective_top1_accuracy,evaluated_examples,main_limitation
external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH/Telnet mixed weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,0.360825,0.783505,0.596793,0.750603,1.0,0.0,0.360825,291,ignores all sequential context
external,first_order_markov,First-order Markov Chain (maximum likelihood),simple sequence baseline,evaluated,privacy-minimized external Cowrie SSH/Telnet mixed weak-label sessions,last trusted tactic,P(next tactic | last tactic),yes; unseen last-tactic context,0.783505,0.945017,0.867698,0.294468,1.0,0.0,0.783505,291,cannot use longer tactic history or external/local shrinkage
external,current_hard_backoff,Current Hard-backoff Variable-order Markov Model,incumbent baseline,evaluated,privacy-minimized external Cowrie SSH/Telnet mixed weak-label sessions,"tactic suffix up to 3, then technique, then last tactic",current runtime ranking from one selected source,operationally replaced by fixed fallback,0.80756,0.996564,0.892039,0.227558,1.0,0.0,0.80756,291,hard source switching and heuristic fallback
external,empirical_bayes_vomm,Empirical-Bayes / Dirichlet-smoothed Variable-order Markov Model,proposed model,evaluated,privacy-minimized external Cowrie SSH/Telnet mixed weak-label sessions,"trusted tactic suffix up to 3, technique, then last tactic",posterior predictive next-tactic distribution,yes; no context meeting raw support threshold,0.80756,0.996564,0.892039,0.227593,1.0,0.0,0.80756,291,local posterior updating requires clean local calibration data
external,fallback_progression,Fixed Progression Fallback,ablation only,evaluated,privacy-minimized external Cowrie SSH/Telnet mixed weak-label sessions,last trusted tactic,policy-defined ranked tactic suggestions,limited; normally forces a suggestion,0.085911,0.089347,0.087629,1.330777,1.0,0.0,0.085911,291,"developer-defined heuristic, not a fitted probability model"
external,external_only,External-only Variable-order Transition Model,source ablation,evaluated,privacy-minimized external Cowrie SSH/Telnet mixed weak-label sessions,trusted tactic/technique context,external Cowrie transition ranking,yes; unsupported external context,0.80756,0.996564,0.892039,0.227558,1.0,0.0,0.80756,291,external corpus is weak-labeled SSH/Telnet and may shift by deployment
external,local_only,Local-only Variable-order Transition Model,source ablation,skipped,privacy-minimized external Cowrie SSH/Telnet mixed weak-label sessions,trusted tactic/technique context,deployment-local transition ranking,yes; insufficient or unsupported local context,,,,,,,,,local-only is not a valid source ablation for the external-corpus scope
external,multinomial_logistic_regression,L2-regularized Multinomial Logistic Regression,optional classical ML baseline,skipped,privacy-minimized external Cowrie SSH/Telnet mixed weak-label sessions,one-hot tactic/technique suffix features and sequence length,softmax next-tactic distribution,not enabled without a calibrated threshold,,,,,,,,,scikit-learn is not installed; optional baseline skipped
local,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,skipped,local session payloads unavailable in public package,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,,,,,,,,,no held-out session cases available
local,first_order_markov,First-order Markov Chain (maximum likelihood),simple sequence baseline,skipped,local session payloads unavailable in public package,last trusted tactic,P(next tactic | last tactic),yes; unseen last-tactic context,,,,,,,,,no held-out session cases available
local,current_hard_backoff,Current Hard-backoff Variable-order Markov Model,incumbent baseline,skipped,local session payloads unavailable in public package,"tactic suffix up to 3, then technique, then last tactic",current runtime ranking from one selected source,operationally replaced by fixed fallback,,,,,,,,,no held-out session cases available
local,empirical_bayes_vomm,Empirical-Bayes / Dirichlet-smoothed Variable-order Markov Model,proposed model,skipped,local session payloads unavailable in public package,"trusted tactic suffix up to 3, technique, then last tactic",posterior predictive next-tactic distribution,yes; no context meeting raw support threshold,,,,,,,,,no held-out session cases available
local,fallback_progression,Fixed Progression Fallback,ablation only,skipped,local session payloads unavailable in public package,last trusted tactic,policy-defined ranked tactic suggestions,limited; normally forces a suggestion,,,,,,,,,no held-out session cases available
local,external_only,External-only Variable-order Transition Model,source ablation,skipped,local session payloads unavailable in public package,trusted tactic/technique context,external Cowrie transition ranking,yes; unsupported external context,,,,,,,,,no held-out session cases available
local,local_only,Local-only Variable-order Transition Model,source ablation,skipped,local session payloads unavailable in public package,trusted tactic/technique context,deployment-local transition ranking,yes; insufficient or unsupported local context,,,,,,,,,no held-out session cases available
local,multinomial_logistic_regression,L2-regularized Multinomial Logistic Regression,optional classical ML baseline,skipped,local session payloads unavailable in public package,one-hot tactic/technique suffix features and sequence length,softmax next-tactic distribution,not enabled without a calibrated threshold,,,,,,,,,no held-out session cases available
