row_type,scope,model_id,model,role,status,data_used,input_context,output,abstention_support,target_tactic,support,support_status,reportable,top1_accuracy,top3_accuracy_secondary,mean_reciprocal_rank,brier_score,normalized_multiclass_brier_score,coverage,abstention_rate,selective_top1_accuracy,macro_top1_accuracy,balanced_accuracy,macro_recall,macro_top1_accuracy_sufficient_support,descriptive_top1_accuracy,descriptive_mean_reciprocal_rank,descriptive_normalized_multiclass_brier_score,low_support_tactics,zero_support_tactics,evaluated_examples,main_limitation
aggregate,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,,,,,0.502394,0.710506,0.660411,0.725133,0.362567,1.0,0.0,0.502394,0.142857,0.142857,0.142857,0.2,,,,command-and-control;credential-access,,3969,ignores all sequential context
per_tactic,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,command-and-control,13,low_support_descriptive_only,False,,,,,,,,,,,,,0.0,0.2,0.649151,,,13,descriptive only; below minimum per-tactic support
per_tactic,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,credential-access,5,low_support_descriptive_only,False,,,,,,,,,,,,,0.0,0.166667,0.65095,,,5,descriptive only; below minimum per-tactic support
per_tactic,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,defense-evasion,335,sufficient_support,True,0.0,,0.333333,0.879391,0.439696,,,,,,,,,,,,,335,ignores all sequential context
per_tactic,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,discovery,1994,sufficient_support,True,1.0,,1.0,0.450568,0.225284,,,,,,,,,,,,,1994,ignores all sequential context
per_tactic,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,execution,980,sufficient_support,True,0.0,,0.25,1.099837,0.549919,,,,,,,,,,,,,980,ignores all sequential context
per_tactic,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,persistence,491,sufficient_support,True,0.0,,0.5,0.788591,0.394296,,,,,,,,,,,,,491,ignores all sequential context
per_tactic,external,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,privilege-escalation,151,sufficient_support,True,0.0,,0.142857,1.301979,0.65099,,,,,,,,,,,,,151,ignores all sequential context
aggregate,external,first_order_markov,First-order Markov Chain (maximum likelihood),simple sequence baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,P(next tactic | last tactic),yes; unseen last-tactic context,,,,,0.335601,0.962711,0.647119,0.727952,0.363976,1.0,0.0,0.335601,0.223798,0.223798,0.223798,0.313317,,,,command-and-control;credential-access,,3969,cannot use longer tactic history or external/local shrinkage
per_tactic,external,first_order_markov,First-order Markov Chain (maximum likelihood),simple sequence baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,P(next tactic | last tactic),yes; unseen last-tactic context,command-and-control,13,low_support_descriptive_only,False,,,,,,,,,,,,,0.0,0.25,0.867736,,,13,descriptive only; below minimum per-tactic support
